"id","title","director","release_year","runtime","rating","metascore","gross(M)"
353,"The Incredibles","Brad Bird","2004",115,8.0,90,261.44
354,"Her","Spike Jonze","2013",126,8.0,91,25.57
355,"Portrait of a Lady on Fire","Céline Sciamma","2019",122,8.1,95,3.76
356,"Gran Torino","Clint Eastwood","2008",116,8.1,72,148.1
357,"Zootopia","Byron Howard","2016",108,8.0,78,341.27
358,"The Graduate","Mike Nichols","1967",106,8.0,83,104.95
359,"Casino Royale","Martin Campbell","2006",144,8.0,80,167.45
360,"The Revenant","Alejandro G. Iñárritu","2015",156,8.0,76,183.64
361,"The Imitation Game","Morten Tyldum","2014",114,8.0,71,91.13
362,"Sin City","Frank Miller","2005",124,8.0,74,74.1
363,"CODA","Sian Heder","2021",111,8.0,72,0.0
364,"Dances with Wolves","Kevin Costner","1990",181,8.0,72,184.21
365,"Magnolia","Paul Thomas Anderson","1999",188,8.0,78,22.46
366,"Slumdog Millionaire","Danny Boyle","2008",120,8.0,84,141.32
367,"Scent of a Woman","Martin Brest","1992",156,8.0,59,63.9
368,"Touch of Evil","Orson Welles","1958",95,8.0,99,2.24
369,"Soul","Pete Docter","2020",100,8.0,83,0.0
370,"Mirror","Andrei Tarkovsky","1975",107,8.0,82,0.18
371,"Groundhog Day","Harold Ramis","1993",101,8.0,72,70.91
372,"The Cabinet of Dr. Caligari","Robert Wiene","1920",67,8.0,0,0.0
373,"The Hustler","Robert Rossen","1961",134,8.0,90,8.28
374,"The Leopard","Luchino Visconti","1963",186,8.0,100,0.0
375,"Do the Right Thing","Spike Lee","1989",120,8.0,93,27.55
376,"Out of the Past","Jacques Tourneur","1947",97,8.0,85,0.0
377,"Le Samouraï","Jean-Pierre Melville","1967",101,8.0,0,0.04
378,"Dog Day Afternoon","Sidney Lumet","1975",125,8.0,86,50.0
379,"Young Frankenstein","Mel Brooks","1974",106,8.0,83,86.3
380,"Elite Squad","José Padilha","2007",115,8.0,33,0.01
381,"Aladdin","Ron Clements","1992",90,8.0,86,217.35
382,"Sweet Smell of Success","Alexander Mackendrick","1957",96,8.0,100,0.0
383,"Blood Diamond","Edward Zwick","2006",143,8.0,64,57.37
384,"The Tale of The Princess Kaguya","Isao Takahata","2013",137,8.0,89,1.51
385,"12 Monkeys","Terry Gilliam","1995",129,8.0,74,57.14
